NCTETID	SCHOOLYEAR_SP	FALLTQ_11	FALLTQ_12	FALLTQ_13	MIR01	MIR02	MIR03	MIR04	MIR05	MIR06	MIR07	MIR08	MIR09	MIR10	MIR11	MIR12	MIS01	MIS02	MIS03	MIS04	MIS05	MIS06	CLC01	CLC02	CLC02_REV	CLC03	CLC04	CLC04_REV	CLC05	CLC06	CLC06_REV	CLC07	CLC08	CLC09	CLC09_REV	FAS01	FAS02	FAS03	FAS04	FAS05	FAS06	FAS07	FAS08	FAS09	INI01	INI02	INI03	TOC01	TOC02	TOC03	TOC04	TOC05	TOC06	TOC07	TOC08	MLR01	MLR02	MLR03	MLR04	TPA01_2011	TPA01_2012	TPA01_2013	TPA02_2011	TPA02_2012	TPA02_2013	TPA03_2011	TPA03_2012	TPA04_2011	TPA04_2012	TPA04_2013	TPA05_2011	TPA05_2012	TPA05_2013	TPA06	TPC01	TPC02	TPC03	TPC04	TPC05	TPC06	TPC07	STY01	STY02	STY02_REV	STY03	STY03_REV	STY04	STY04_REV	ATY01	CMU03	CMU04	CMU05	CMU06	CMU07	CMU08	CMU09	CMU10	CMU11	CMU12	CMU13	CMU14	CMU15	TSE01	TSE02_2011	TSE02_2012	TSE03_2011	TSE03_2012	TSE04	TSE05_2011	TSE05_2012	TSE06	TSE07	TSE08	TSE09	TSE10	TSE11	TSE12	TSE13	TSE14	TEB01	TEB02	TEB03	TEB04	TEB05	TEB06	TEB07	SPR01	SPR01_REV	SPR02	SPR02_REV	SPR03	SPR04	SPR04_REV	SPR05	SPR06	SPR07	SPR07_REV	SPR08	SPR08_REV	SPR09	WFE01	WFE02	WFE03	WFE04	WFE05	WFE05_TEXT	WFE06	OBF01	OBF02	OBM01	OBM02	POF01	POF02	POF03	POF04	POF05	POF06	POF07	POF08	POF09	POF10	POF11	POF12	POF13	POF14	POF15	POF16	SFC01	SFC02	SFC03	SFC04	SFC05	SFC06	TPD01	TPD02	TPD03	TPD04	TPD05	TPD06	TPD07	TPD08	TPD08_TEXT	STL01_F	STL02_F	STL03_F	STL04_F	STL05_F	STL06_F	STL07_F	SCC01_F	SCC02_F	SCC03_F	SCC04_F	SCC05_F	SCC06_F	SCC07_F	SCC08_F	MKT_Q1A_11	MKT_Q1B_11	MKT_Q1C_11	MKT_Q1D_11	MKT_Q2_11	MKT_Q3_11	MKT_Q4_11	MKT_Q5_11	MKT_Q6_11	MKT_Q7_11	MKT_Q8_11	MKT_Q9A_11	MKT_Q9B_11	MKT_Q9C_11	MKT_Q9D_11	MKT_Q9E_11	MKT_Q10A_11	MKT_Q10B_11	MKT_Q10C_11	MKT_Q10D_11	MKT_Q11_11	MKT_Q12_11	MKT_Q13A_11	MKT_Q13B_11	MKT_Q13C_11	MKT_Q13D_11	MKT_Q13E_11	MKT_Q14A_11	MKT_Q14B_11	MKT_Q14C_11	MKT_Q14D_11	MKT_Q15_11	MKT_Q16_11	MKT_Q17_11	MKT_Q18_11	MKT_Q19_11	MKT_Q20_11	MKT_Q21_11	MKT_Q22_11	MKT_Q23_11	MKT_Q1_12	MKT_Q2_12	MKT_Q3A_12	MKT_Q3B_12	MKT_Q3C_12	MKT_Q4_12	MKT_Q5_12	MKT_Q6A_12	MKT_Q6B_12	MKT_Q6C_12	MKT_Q6D_12	MKT_Q7_12	MKT_Q8_12	MKT_Q9_12	MKT_Q10_12	MKT_Q11_12	MKT_Q12_12	MKT_Q13A_12	MKT_Q13B_12	MKT_Q13C_12	MKT_Q13D_12	MKT_Q13E_12	MKT_Q14_12	MKT_Q15A_12	MKT_Q15B_12	MKT_Q15C_12	MKT_Q15D_12	MKT_Q16_12	MKT_Q17_12	MKT_Q18_12	MKT_Q19_12	MKT_Q20_12	MKT_Q21_12	MKT_Q22_12	MKT_Q23_12	MKT_Q24_12	MKT_Q1_13	MKT_Q2_13	MKT_Q3_13	MKT_Q4A_13	MKT_Q4B_13	MKT_Q4C_13	MKT_Q5_13	MKT_Q6_13	MKT_Q7_13	MKT_Q8_13	MKT_Q9_13	MKT_Q10_13	MKT_Q11A_13	MKT_Q11B_13	MKT_Q11C_13	MKT_Q11D_13	MKT_Q12_13	MKT_Q13_13	MKT_Q14A_13	MKT_Q14B_13	MKT_Q14C_13	MKT_Q15_13	MKT_Q16_13	MKT_Q17_13	MKT_Q18_13	MKT_Q19_13	MKT_Q20_13	MKT_Q21_13	MKT_Q22_13	MATH_KNOWLEDGE	MATH_KNOWLEDGE_SE	MATH_KNOWLEDGE_YR	MATH_KNOWLEDGE_SE_YR
11075	2012	0	1	1	 	4	5	4	5	4	 	4	4	5	3	4	 	4	3	3	4	4	2	2	4	 	2	4	4	3	3	4	3	2	4	 	4	5	 	5	3	5	4	3	 	 	 	4	3	4	4	 	3	 	 	2	 	2	2	 	2	 	 	2	 	 	2	 	3	 	 	3	 	 	2	3	3	2	2	2	3	4	3	3	5	1	2	4	1	 	 	 	 	1	 	 	2	 	 	 	 	 	 	 	5	 	6	 	 	5	6	6	5	5	5	5	5	5	5	 	 	 	3	3	3	3	2	4	2	4	5	1	5	5	4	4	2	1	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	3	4	4	4	 	4	3	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	2	1	1	3	3	2	2	1	1	2	4	 	4	3	2	2	1	1	3	1	1	2	1	2	2	3	3	4	4	5	1	4	2	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.307999998331	.3260000050068	.231000006199	.4449999928474
11075	2013	0	1	1	 	3	4	 	4	4	 	3	3	4	4	2	 	4	3	3	3	3	4	2	4	 	1	5	4	2	4	4	 	2	4	 	 	4	 	 	 	 	 	 	5	4	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	 	3	 	 	 	 	4	 	 	5	3	3	3	3	2	2	 	5	2	3	3	5	1	4	2	 	 	 	 	 	1	 	 	2	 	2	5	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	1	5	5	2	4	5	4	3	3	1	5	4	1	0	0	0	0	 	0	4	 	3	3	4	4	3	3	4	2	4	4	3	3	5	5	5	5	5	4	3	2	2	3	3	1	4	3	4	4	3	3	5	 	 	4	4	5	5	3	4	4	4	4	3	4	3	4	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	4	2	1	2	1	1	2	1	5	3	2	1	2	1	2	2	3	2	2	1	3	2	1	3	3	4	1	1	.307999998331	.3260000050068	.244000002742	.4329999983311
11076	2012	0	1	1	 	3	3	4	4	4	 	4	4	5	4	4	 	3	3	3	2	3	4	2	4	 	1	5	4	2	4	4	4	1	5	3	4	4	 	4	2	4	3	4	 	 	 	4	5	3	4	 	3	 	 	2	 	2	2	 	4	 	 	3	 	 	2	 	2	 	 	3	 	 	3	5	4	4	4	5	4	2	3	3	2	4	3	3	2	 	 	 	 	1	 	 	2	 	2	 	 	 	 	 	5	 	4	 	 	4	7	5	7	5	7	7	7	6	2	 	 	 	3	3	3	3	4	2	4	2	4	4	2	5	4	5	1	4	2	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	4	4	4	 	3	3	5	5	4	5	5	5	Social Studies.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	1	3	4	1	1	2	2	5	2	4	2	2	4	1	2	1	1	1	2	1	2	2	2	4	2	1	3	1	4	4	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.773000001907	.33599999547	.945999979973	.455000013113
11076	2013	0	1	1	 	3	2	 	4	4	 	2	3	3	3	2	 	4	3	4	4	4	4	2	4	 	1	5	5	1	5	4	4	1	5	 	 	3	 	 	 	 	 	 	4	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	 	5	 	 	 	 	3	 	 	5	5	3	5	2	3	3	 	5	2	4	2	4	2	4	2	 	 	 	 	 	 	2	1	 	1	 	4	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	4	2	4	4	4	2	3	4	4	2	4	2	3	1	1	0	0	0	 	0	3	3	4	4	2	3	4	2	3	1	1	1	1	1	4	4	3	1	1	1	1	1	5	4	4	1	2	3	5	5	5	5	5	3	Social Studies	1	1	2	4	2	2	2	4	3	2	4	2	4	4	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	4	 	2	3	1	1	4	3	4	3	2	2	2	1	2	2	4	1	2	1	3	2	1	1	2	4	1	1	.773000001907	.33599999547	.375999987125	.4390000104904
11077	2012	0	1	1	 	5	4	4	4	4	 	5	4	4	4	3	 	3	2	4	3	4	4	2	4	 	2	4	4	2	4	4	4	1	5	3	3	4	 	4	3	5	3	3	 	 	 	3	4	4	4	 	1	 	 	2	 	2	2	 	2	 	 	2	 	 	2	 	2	 	 	3	 	 	3	3	3	3	3	3	3	3	4	2	4	2	4	2	2	 	2	 	 	1	 	 	2	 	2	 	 	 	 	 	5	 	6	 	 	5	7	4	7	6	7	6	6	5	5	 	 	 	1	1	1	1	3	3	1	5	5	2	4	4	4	1	5	2	4	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	3	3	 	1	2	2	4	5	2	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	1	1	1	1	3	2	1	2	2	2	5	4	4	2	 	4	1	2	2	2	3	1	1	2	3	2	1	 	4	3	5	4	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-.683000028133	.3379999995232	-.688000023365	.4679999947548
11077	2013	0	1	1	 	3	5	 	5	5	 	5	5	3	5	5	 	5	4	4	4	4	3	1	5	 	1	5	5	1	5	5	4	1	5	 	 	2	 	 	 	 	 	 	4	4	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	 	3	 	 	 	 	5	 	 	4	2	1	4	1	1	1	 	4	2	4	2	5	1	5	1	 	 	2	 	 	1	 	 	 	 	2	5	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	1	5	5	3	3	5	5	2	4	3	3	4	1	0	0	0	0	 	0	3	3	2	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	3	3	1	1	1	1	1	1	1	5	5	Differentiated instruction	5	5	5	5	5	5	5	4	3	2	3	1	3	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	4	3	1	3	1	4	3	3	1	1	2	3	3	3	3	4	4	 	 	 	3	2	2	1	2	4	4	4	-.683000028133	.3379999995232	-.634000003338	.4350000023842
11078	2013	0	0	1	 	5	4	 	5	5	 	5	3	5	 	3	 	5	5	5	5	5	3	1	5	 	2	4	4	1	5	5	3	1	5	 	 	4	 	 	 	 	 	 	5	5	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	2	 	 	 	 	5	 	 	2	4	2	5	1	2	4	 	 	4	1	5	1	5	1	5	 	 	 	 	 	 	 	 	 	 	 	4	4	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	1	5	5	5	1	3	4	5	1	3	3	3	1	0	1	0	1	curriculum director	0	4	4	2	2	4	4	2	2	3	1	5	4	4	3	4	5	5	4	4	4	3	2	5	5	5	3	5	5	5	5	4	5	2	 	 	4	3	3	3	3	3	3	4	3	4	4	4	3	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	3	1	2	2	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-2.00200009346	.527999997139	-2.032999992371	.522000014782
11079	2013	0	0	1	 	3	3	 	3	3	 	3	3	3	3	2	 	5	4	4	4	5	2	5	1	 	4	2	1	5	1	1	2	5	1	 	 	1	 	 	 	 	 	 	5	5	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	 	 	1	 	 	1	1	1	1	1	1	1	 	1	5	1	5	1	5	1	5	 	 	 	 	 	1	 	 	 	 	 	5	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	1	5	2	3	3	2	3	3	3	3	3	4	1	1	0	0	0	 	0	4	3	2	1	4	4	4	4	4	1	4	3	3	4	5	5	5	5	4	2	1	1	5	1	1	1	3	2	2	2	3	5	3	3	Social/emotional curr.	4	4	3	4	3	3	3	4	2	4	4	2	3	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	4	2	3	3	3	2	4	2	1	1	4	3	3	3	3	1	4	1	1	3	3	 	1	 	 	 	 	 	-1.133000016212	.4639999866486	-1.171000003815	.4580000042915
12001	2011	1	1	1	5	5	4	5	5	5	5	5	5	 	 	 	4	5	1	5	5	 	4	1	5	4	1	5	4	2	4	4	4	1	5	3	5	5	5	4	3	 	 	 	 	 	 	3	3	3	3	3	3	4	2	2	2	2	2	3	 	 	3	 	 	4	 	3	 	 	4	 	 	 	3	4	4	3	2	2	5	5	4	2	4	2	3	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	4	5	 	4	 	5	5	 	 	 	 	 	 	 	 	 	 	4	4	1	 	 	 	 	1	5	1	5	4	5	1	5	5	4	2	5	1	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	4	1	1	3	1	3	4	2	1	4	3	2	1	2	1	2	5	4	 	2	2	1	2	3	2	1	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-1.371000051498	.3129999935627	-1.577000021935	.4799999892712
12001	2012	1	1	1	 	5	4	4	5	5	 	5	5	5	5	4	 	5	4	4	5	5	4	3	3	 	2	4	4	3	3	5	2	1	5	4	4	5	 	5	4	5	4	5	 	 	 	4	4	4	4	 	3	 	 	2	 	2	2	 	2	 	 	4	 	 	2	 	3	 	 	3	 	 	4	4	3	2	4	2	4	5	3	3	5	1	3	3	1	 	2	 	 	1	 	 	 	 	 	 	 	 	 	 	6	 	6	 	 	6	7	6	6	7	6	7	7	7	5	 	 	 	1	1	1	1	1	5	2	4	1	5	1	5	5	5	1	5	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	3	4	5	 	3	4	4	5	5	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	3	1	2	1	2	 	3	4	2	1	2	 	 	 	 	 	 	1	2	2	1	4	 	2	5	5	4	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-1.371000051498	.3129999935627	-1.161999940872	.5370000004768
12001	2013	1	1	1	 	5	4	 	5	5	 	5	5	5	5	5	 	4	3	4	4	5	4	4	2	 	2	4	5	3	3	5	2	2	4	 	 	5	 	 	 	 	 	 	5	4	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	4	 	 	 	 	4	 	 	4	3	3	4	4	3	2	 	4	5	3	3	3	3	1	5	 	1	 	 	2	1	 	 	 	 	 	5	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	4	2	4	3	5	1	5	5	3	3	2	4	5	1	0	1	0	0	 	0	3	3	3	3	5	5	4	4	4	4	4	4	4	4	4	5	5	5	5	5	3	3	4	4	4	3	5	5	4	4	5	4	4	4	Bilingual teaching	3	3	4	4	4	3	3	4	4	4	4	2	4	2	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	4	3	3	2	2	3	2	2	2	4	2	3	3	3	3	3	1	3	2	3	1	 	 	 	 	4	3	1	-1.371000051498	.3129999935627	-.836000025272	.4359999895096
12002	2011	1	1	1	5	4	3	4	4	5	4	5	5	 	 	 	4	5	3	3	5	 	4	2	4	4	1	5	4	2	4	4	4	2	4	5	4	5	5	5	2	 	 	 	 	 	 	4	4	4	3	2	4	2	3	1	2	2	2	2	 	 	2	 	 	3	 	3	 	 	2	 	 	 	3	4	2	2	2	2	4	3	4	2	3	3	3	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	4	5	 	5	 	4	4	 	 	 	 	 	 	 	 	 	 	2	2	1	 	 	 	 	2	4	2	4	5	5	1	4	4	4	2	4	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	1	1	2	2	4	3	5	3	1	2	3	1	4	2	2	1	2	1	2	1	2	2	1	1	2	2	1	1	2	4	2	2	3	4	1	1	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1.506999969482	.28900000453	1.43700003624	.4160000085831
12002	2012	1	1	1	 	5	4	4	5	5	 	5	5	4	5	5	 	5	4	4	5	4	4	2	4	 	2	4	4	2	4	4	4	2	4	5	4	5	 	5	3	5	5	3	 	 	 	4	4	4	2	 	3	 	 	1	 	2	2	 	2	 	 	2	 	 	4	 	2	 	 	4	 	 	3	5	2	3	3	2	5	4	3	3	1	5	2	4	1	 	 	 	 	1	 	 	2	 	2	 	 	 	 	 	7	 	7	 	 	6	5	7	5	7	6	7	6	7	4	 	 	 	2	2	2	2	3	3	3	3	4	4	2	2	4	4	2	4	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	4	3	3	 	3	3	4	4	5	4	4	3	Science.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	4	3	1	1	3	2	1	1	2	2	4	4	4	3	2	3	1	1	1	2	1	2	1	2	2	1	4	2	1	5	1	4	4	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1.506999969482	.28900000453	1.600000023842	.477999985218
12002	2013	1	1	1	 	5	3	 	5	4	 	5	5	5	5	5	 	3	4	3	4	4	3	4	2	 	3	3	4	4	2	4	2	2	4	 	 	3	 	 	 	 	 	 	5	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	 	5	 	 	 	 	3	 	 	5	4	3	5	1	2	2	 	5	5	1	5	3	3	1	5	 	 	2	 	 	 	2	 	2	1	 	5	3	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	4	2	4	4	5	1	4	4	5	1	5	1	2	0	0	0	0	0	 	1	4	1	3	1	2	1	1	1	2	1	1	1	1	2	1	4	3	1	3	1	1	1	3	4	1	2	1	1	3	3	4	1	3	2	Science	3	4	4	4	2	3	3	4	4	2	3	1	4	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	4	3	1	1	2	1	4	3	4	1	 	1	2	1	1	2	4	1	2	1	3	2	 	1	2	4	1	1	1.506999969482	.28900000453	.751999974251	.4560000002384
12003	2011	1	0	0	5	2	5	1	4	4	5	4	5	 	 	 	4	4	4	5	4	 	1	1	5	5	1	5	5	1	5	5	1	1	5	4	4	5	4	5	4	 	 	 	 	 	 	3	3	3	3	2	2	2	1	2	2	2	2	2	 	 	3	 	 	2	 	2	 	 	2	 	 	 	3	4	2	1	3	3	4	5	1	5	1	5	1	5	1	 	 	 	 	 	 	 	 	 	 	 	 	 	2	5	 	5	 	5	5	 	 	 	 	 	 	 	 	 	 	4	2	1	 	 	 	 	1	5	5	1	5	4	2	4	5	1	5	4	2	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	4	1	3	3	2	1	1	3	1	 	 	1	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	5	1	 	1	4	1	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-1.088000059128	.4160000085831	-1.032999992371	.4000000059605
12004	2011	1	0	0	5	5	4	5	5	4	3	5	5	 	 	 	3	5	2	4	4	 	4	3	3	3	3	3	2	5	1	3	2	2	4	4	4	5	4	5	4	 	 	 	 	 	 	4	5	4	5	3	4	4	4	2	2	2	1	2	 	 	2	 	 	2	 	2	 	 	2	 	 	 	2	3	2	4	2	2	3	3	4	2	1	5	3	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	3	4	 	5	 	5	5	 	 	 	 	 	 	 	 	 	 	4	4	1	 	 	 	 	1	5	1	5	5	3	3	4	4	3	3	4	2	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	2	1	4	4	4	3	5	3	1	2	1	2	2	1	2	1	3	2	5	3	2	1	3	3	3	 	 	 	 	5	2	 	3	1	2	 	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-1.268000006676	.4320000112057	-1.210999965668	.4149999916553
12005	2011	1	1	1	5	4	3	2	4	4	4	5	4	 	 	 	4	4	4	3	3	 	4	2	4	3	1	5	4	1	5	5	4	1	5	4	4	5	5	4	3	 	 	 	 	 	 	4	4	3	3	2	2	2	3	2	2	2	2	3	 	 	3	 	 	3	 	3	 	 	3	 	 	 	2	4	1	2	2	1	4	3	2	4	4	2	3	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	5	4	 	5	 	5	5	 	 	 	 	 	 	 	 	 	 	2	1	1	 	 	 	 	1	5	1	5	5	3	3	4	5	3	3	3	3	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	1	4	2	3	3	5	1	1	3	3	4	1	2	2	1	2	2	4	3	1	2	1	1	2	2	1	2	2	5	1	4	4	4	1	1	4	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.652999997139	.2630000114441	.101000003517	.3770000040531
12005	2012	1	1	1	 	3	2	2	4	5	 	5	5	5	5	5	 	5	2	3	3	4	5	2	4	 	1	5	3	1	5	4	3	1	5	4	4	4	 	4	3	4	4	3	 	 	 	3	3	3	3	 	2	 	 	2	 	2	2	 	3	 	 	3	 	 	3	 	3	 	 	3	 	 	3	4	2	4	2	3	4	1	5	1	5	1	5	1	2	 	2	 	 	 	 	1	 	 	2	 	 	 	 	 	7	 	7	 	 	7	7	7	7	6	7	7	7	7	5	 	 	 	2	3	2	1	4	2	1	5	4	3	3	3	3	3	3	3	3	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	3	3	3	 	3	3	4	4	5	4	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	1	1	1	2	3	2	1	1	2	2	5	2	5	3	1	4	1	1	1	2	2	2	1	2	2	1	4	2	1	2	5	4	4	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.652999997139	.2630000114441	.669000029564	.4530000090599
